"Unique Name","Title","Resource URL title","Resource URL","Creator"
"facebook-australia-awards","Australia Awards","Australia Awards","https://www.facebook.com/Australia-Awards-153530641520503/","Department of Foreign Affairs and Trade"
"instagram-australia-awards","Australia Awards","@australiaawards","https://www.instagram.com/australiaawards/","Department of Foreign Affairs and Trade"
"twitter-australia-council","Australia Council","@auscouncilarts","https://twitter.com/auscouncilarts","Australia Council for the Arts"
"linkedin-australia-council-for-the-arts","Australia Council for the Arts","Australia Council for the Arts","https://www.linkedin.com/company/australia-council-for-the-arts","Australia Council for the Arts"
"flickr-australia-council-for-the-arts","Australia Council for the Arts","Australia Council for the Arts","https://www.flickr.com/photos/36027937@N02/","Australia Council for the Arts"
"facebook-australia-council-for-the-arts","Australia Council for the Arts","Australia Council for the Arts","https://www.facebook.com/australiacouncil","Australia Council for the Arts"
"googleplus-australia-council-for-the-arts","Australia Council for the Arts","Australia Council for the Arts","https://plus.google.com/102200925821609967072/posts","Australia Council for the Arts"
"instagram-australia-council-for-the-arts","Australia Council for the Arts","@auscouncilarts","https://www.instagram.com/auscouncilarts/","Australia Council for the Arts"
"youtube-australia-day","Australia Day","Australia Day","https://www.youtube.com/user/OzDayVideos","National Australia Day Council"
"instagram-australia-day","Australia Day","@australiaday","https://www.instagram.com/australiaday/","National Australia Day Council"
"twitter-australia-day","Australia Day","@OzDay","https://twitter.com/OzDay","National Australia Day Council"
"googleplus-australia-post","Australia Post","Australia Post","https://plus.google.com/u/0/+australiapost/posts","Australian Postal Corporation"
"linkedin-australia-post","Australia Post","Australia Post","https://www.linkedin.com/company/australia-post","Australian Postal Corporation"
"twitter-australia-post","Australia Post","@auspost","https://twitter.com/auspost","Australian Postal Corporation"
"facebook-australia-post","Australia Post","Australia Post","https://www.facebook.com/australiapost","Australian Postal Corporation"
"youtube-australia-post","Australia Post","Australia Post","https://www.youtube.com/user/auspost","Australian Postal Corporation"
"twitter-australia-post-news","Australia Post News","@AusPost_News","https://twitter.com/AusPost_News","Australian Postal Corporation"
"linkedin-australia-unlimited","Australia Unlimited","Australia Unlimited","https://www.linkedin.com/company/2740026","Australian Trade and Investment Commission"
"facebook-australia-unlimited","Australia Unlimited","Australia Unlimited","https://www.facebook.com/AusUnlimited/","Australian Trade and Investment Commission"
"twitter-australia-unlimited","Australia Unlimited","@AusUnlimited","https://twitter.com/AusUnlimited","Australian Trade and Investment Commission"
"rss-australia-unlimited","Australia Unlimited","RSS feed (XML)","http://www.australiaunlimited.com/RSS.aspx","Australian Trade and Investment Commission"
"facebook-australias-chief-scientist","Australia's Chief Scientist","Australia's Chief Scientist","https://www.facebook.com/chiefscientist","Department of Industry, Innovation and Science"
"facebook-australia-asean-council","Australia-ASEAN Council","Australia-ASEAN Council","https://www.facebook.com/AusASEANCouncil/","Department of Foreign Affairs and Trade"
"linkedin-australia-china-council","Australia-China Council","Australia-China Council","https://www.linkedin.com/company/australia-china-council-acc-","Department of Foreign Affairs and Trade"
"facebook-australia-china-council","Australia-China Council","Australia-China Council","https://www.facebook.com/auschinacouncil","Department of Foreign Affairs and Trade"
